Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"PP","Producer Prices - Annual","53","Benin","5532","Producer Price (USD/tonne)","83","Sorghum","2018","2018","USD","347.6","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","199.2","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","392.9","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","867","Meat, cattle","2018","2018","USD","2789.5","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","1035","Meat, pig","2018","2018","USD","2567.7","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","USD","349.4","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","2018","2018","USD","903.2","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","27","Rice, paddy","2018","2018","USD","348.5","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","83","Sorghum","2018","2018","USD","106.4","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","348.6","","Official data"
"PP","Producer Prices - Annual","80","Bosnia and Herzegovina","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","188.7","","Official data"
"PP","Producer Prices - Annual","80","Bosnia and Herzegovina","5532","Producer Price (USD/tonne)","89","Buckwheat","2018","2018","USD","261.2","","Official data"
"PP","Producer Prices - Annual","80","Bosnia and Herzegovina","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","167","","Official data"
"PP","Producer Prices - Annual","80","Bosnia and Herzegovina","5532","Producer Price (USD/tonne)","867","Meat, cattle","2018","2018","USD","2312","","Official data"
"PP","Producer Prices - Annual","80","Bosnia and Herzegovina","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2018","2018","USD","949.9","","Official data"
"PP","Producer Prices - Annual","80","Bosnia and Herzegovina","5532","Producer Price (USD/tonne)","1035","Meat, pig","2018","2018","USD","1553.4","","Official data"
"PP","Producer Prices - Annual","80","Bosnia and Herzegovina","5532","Producer Price (USD/tonne)","977","Meat, sheep","2018","2018","USD","2987.4","","Official data"
"PP","Producer Prices - Annual","80","Bosnia and Herzegovina","5532","Producer Price (USD/tonne)","1080","Meat, turkey","2018","2018","USD","6003.1","","Official data"
"PP","Producer Prices - Annual","80","Bosnia and Herzegovina","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","USD","156.3","","Official data"
"PP","Producer Prices - Annual","80","Bosnia and Herzegovina","5532","Producer Price (USD/tonne)","71","Rye","2018","2018","USD","209","","Official data"
"PP","Producer Prices - Annual","80","Bosnia and Herzegovina","5532","Producer Price (USD/tonne)","97","Triticale","2018","2018","USD","151.7","","Official data"
"PP","Producer Prices - Annual","80","Bosnia and Herzegovina","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","159.7","","Official data"
"PP","Producer Prices - Annual","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","1816.3","","Official data"
"PP","Producer Prices - Annual","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","947","Meat, buffalo","2018","2018","USD","7665.4","","Official data"
"PP","Producer Prices - Annual","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","867","Meat, cattle","2018","2018","USD","13640.6","","Official data"
"PP","Producer Prices - Annual","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2018","2018","USD","3380.5","","Official data"
"PP","Producer Prices - Annual","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","1017","Meat, goat","2018","2018","USD","9698.9","","Official data"
"PP","Producer Prices - Annual","26","Brunei Darussalam","5532","Producer Price (USD/tonne)","27","Rice, paddy","2018","2018","USD","926.7","","Official data"
"PP","Producer Prices - Annual","27","Bulgaria","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","176.6","","Official data"
"PP","Producer Prices - Annual","27","Bulgaria","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","168.8","","Official data"
"PP","Producer Prices - Annual","27","Bulgaria","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","USD","171.1","","Official data"
"PP","Producer Prices - Annual","27","Bulgaria","5532","Producer Price (USD/tonne)","27","Rice, paddy","2018","2018","USD","312.1","","Official data"
"PP","Producer Prices - Annual","27","Bulgaria","5532","Producer Price (USD/tonne)","71","Rye","2018","2018","USD","158.1","","Official data"
"PP","Producer Prices - Annual","27","Bulgaria","5532","Producer Price (USD/tonne)","83","Sorghum","2018","2018","USD","209.6","","Official data"
"PP","Producer Prices - Annual","27","Bulgaria","5532","Producer Price (USD/tonne)","97","Triticale","2018","2018","USD","163.4","","Official data"
"PP","Producer Prices - Annual","27","Bulgaria","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","183.9","","Official data"
"PP","Producer Prices - Annual","35","Cabo Verde","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","2406.2","","Official data"
"PP","Producer Prices - Annual","35","Cabo Verde","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","756.3","","Official data"
"PP","Producer Prices - Annual","35","Cabo Verde","5532","Producer Price (USD/tonne)","867","Meat, cattle","2018","2018","USD","9145.9","","Official data"
"PP","Producer Prices - Annual","35","Cabo Verde","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2018","2018","USD","5045.8","","Official data"
"PP","Producer Prices - Annual","35","Cabo Verde","5532","Producer Price (USD/tonne)","1017","Meat, goat","2018","2018","USD","8418","","Official data"
"PP","Producer Prices - Annual","35","Cabo Verde","5532","Producer Price (USD/tonne)","1035","Meat, pig","2018","2018","USD","4762","","Official data"
"PP","Producer Prices - Annual","33","Canada","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","164","","Official data"
"PP","Producer Prices - Annual","33","Canada","5532","Producer Price (USD/tonne)","101","Canary seed","2018","2018","USD","357.2","","Official data"
"PP","Producer Prices - Annual","33","Canada","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","151.1","","Official data"
"PP","Producer Prices - Annual","33","Canada","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","USD","147.1","","Official data"
"PP","Producer Prices - Annual","33","Canada","5532","Producer Price (USD/tonne)","71","Rye","2018","2018","USD","151.4","","Official data"
"PP","Producer Prices - Annual","33","Canada","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","190.1","","Official data"
"PP","Producer Prices - Annual","39","Chad","5532","Producer Price (USD/tonne)","108","Cereals nes","2018","2018","USD","313.1","","Official data"
"PP","Producer Prices - Annual","39","Chad","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","345.5","","Official data"
"PP","Producer Prices - Annual","39","Chad","5532","Producer Price (USD/tonne)","79","Millet","2018","2018","USD","336.5","","Official data"
"PP","Producer Prices - Annual","39","Chad","5532","Producer Price (USD/tonne)","27","Rice, paddy","2018","2018","USD","1004.1","","Official data"
"PP","Producer Prices - Annual","39","Chad","5532","Producer Price (USD/tonne)","83","Sorghum","2018","2018","USD","280.7","","Official data"
"PP","Producer Prices - Annual","39","Chad","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","637","","Official data"
"PP","Producer Prices - Annual","40","Chile","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","209.5","","Official data"
"PP","Producer Prices - Annual","40","Chile","5532","Producer Price (USD/tonne)","867","Meat, cattle","2018","2018","USD","4267.9","","Official data"
"PP","Producer Prices - Annual","40","Chile","5532","Producer Price (USD/tonne)","1035","Meat, pig","2018","2018","USD","2595.1","","Official data"
"PP","Producer Prices - Annual","40","Chile","5532","Producer Price (USD/tonne)","27","Rice, paddy","2018","2018","USD","270.4","","Official data"
"PP","Producer Prices - Annual","40","Chile","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","244.6","","Official data"
"PP","Producer Prices - Annual","48","Costa Rica","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","400.7","","Official data"
"PP","Producer Prices - Annual","48","Costa Rica","5532","Producer Price (USD/tonne)","27","Rice, paddy","2018","2018","USD","474.5","","Official data"
"PP","Producer Prices - Annual","98","Croatia","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","176","","Official data"
"PP","Producer Prices - Annual","98","Croatia","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","152.2","","Official data"
"PP","Producer Prices - Annual","98","Croatia","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","USD","144.4","","Official data"
"PP","Producer Prices - Annual","98","Croatia","5532","Producer Price (USD/tonne)","71","Rye","2018","2018","USD","177.6","","Official data"
"PP","Producer Prices - Annual","98","Croatia","5532","Producer Price (USD/tonne)","97","Triticale","2018","2018","USD","154.5","","Official data"
"PP","Producer Prices - Annual","98","Croatia","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","172.6","","Official data"
"PP","Producer Prices - Annual","50","Cyprus","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","270.3","","Official data"
"PP","Producer Prices - Annual","50","Cyprus","5532","Producer Price (USD/tonne)","867","Meat, cattle","2018","2018","USD","3368.8","","Official data"
"PP","Producer Prices - Annual","50","Cyprus","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2018","2018","USD","2971","","Official data"
"PP","Producer Prices - Annual","50","Cyprus","5532","Producer Price (USD/tonne)","1017","Meat, goat","2018","2018","USD","5303.4","","Official data"
"PP","Producer Prices - Annual","50","Cyprus","5532","Producer Price (USD/tonne)","1035","Meat, pig","2018","2018","USD","2204.9","","Official data"
"PP","Producer Prices - Annual","50","Cyprus","5532","Producer Price (USD/tonne)","1141","Meat, rabbit","2018","2018","USD","7672.5","","Official data"
"PP","Producer Prices - Annual","50","Cyprus","5532","Producer Price (USD/tonne)","977","Meat, sheep","2018","2018","USD","5263","","Official data"
"PP","Producer Prices - Annual","50","Cyprus","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","USD","369.5","","Official data"
"PP","Producer Prices - Annual","50","Cyprus","5532","Producer Price (USD/tonne)","97","Triticale","2018","2018","USD","240.8","","Official data"
"PP","Producer Prices - Annual","50","Cyprus","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","293.9","","Official data"
"PP","Producer Prices - Annual","167","Czechia","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","200.1","","Official data"
"PP","Producer Prices - Annual","167","Czechia","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","185","","Official data"
"PP","Producer Prices - Annual","167","Czechia","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","USD","262.4","","Official data"
"PP","Producer Prices - Annual","167","Czechia","5532","Producer Price (USD/tonne)","71","Rye","2018","2018","USD","192.1","","Official data"
"PP","Producer Prices - Annual","167","Czechia","5532","Producer Price (USD/tonne)","97","Triticale","2018","2018","USD","166.5","","Official data"
"PP","Producer Prices - Annual","167","Czechia","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","184.1","","Official data"
"PP","Producer Prices - Annual","54","Denmark","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","203.5","","Official data"
"PP","Producer Prices - Annual","54","Denmark","5532","Producer Price (USD/tonne)","867","Meat, cattle","2018","2018","USD","3481.6","","Official data"
"PP","Producer Prices - Annual","54","Denmark","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2018","2018","USD","1297.3","","Official data"
"PP","Producer Prices - Annual","54","Denmark","5532","Producer Price (USD/tonne)","1097","Meat, horse","2018","2018","USD","1422.4","","Official data"
"PP","Producer Prices - Annual","54","Denmark","5532","Producer Price (USD/tonne)","1035","Meat, pig","2018","2018","USD","1631.6","","Official data"
"PP","Producer Prices - Annual","54","Denmark","5532","Producer Price (USD/tonne)","977","Meat, sheep","2018","2018","USD","3954.3","","Official data"
"PP","Producer Prices - Annual","54","Denmark","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","USD","192.3","","Official data"
"PP","Producer Prices - Annual","54","Denmark","5532","Producer Price (USD/tonne)","71","Rye","2018","2018","USD","188.9","","Official data"
"PP","Producer Prices - Annual","54","Denmark","5532","Producer Price (USD/tonne)","97","Triticale","2018","2018","USD","198.6","","Official data"
"PP","Producer Prices - Annual","54","Denmark","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","198.9","","Official data"
"PP","Producer Prices - Annual","56","Dominican Republic","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","404.1","","Official data"
"PP","Producer Prices - Annual","56","Dominican Republic","5532","Producer Price (USD/tonne)","27","Rice, paddy","2018","2018","USD","381.1","","Official data"
"PP","Producer Prices - Annual","58","Ecuador","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","391.7","","Official data"
"PP","Producer Prices - Annual","58","Ecuador","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","314","","Official data"
"PP","Producer Prices - Annual","58","Ecuador","5532","Producer Price (USD/tonne)","977","Meat, sheep","2018","2018","USD","5872.3","","Official data"
"PP","Producer Prices - Annual","58","Ecuador","5532","Producer Price (USD/tonne)","92","Quinoa","2018","2018","USD","1208.9","","Official data"
"PP","Producer Prices - Annual","58","Ecuador","5532","Producer Price (USD/tonne)","27","Rice, paddy","2018","2018","USD","292.5","","Official data"
"PP","Producer Prices - Annual","58","Ecuador","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","396.8","","Official data"
"PP","Producer Prices - Annual","60","El Salvador","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","339.5","","Official data"
"PP","Producer Prices - Annual","60","El Salvador","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2018","2018","USD","2816","","Official data"
"PP","Producer Prices - Annual","60","El Salvador","5532","Producer Price (USD/tonne)","27","Rice, paddy","2018","2018","USD","371.7","","Official data"
"PP","Producer Prices - Annual","60","El Salvador","5532","Producer Price (USD/tonne)","83","Sorghum","2018","2018","USD","365.2","","Official data"
"PP","Producer Prices - Annual","63","Estonia","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","186.9","","Official data"
"PP","Producer Prices - Annual","63","Estonia","5532","Producer Price (USD/tonne)","867","Meat, cattle","2018","2018","USD","2649.8","","Official data"
"PP","Producer Prices - Annual","63","Estonia","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2018","2018","USD","1553.1","Fc","Calculated data"
"PP","Producer Prices - Annual","63","Estonia","5532","Producer Price (USD/tonne)","1035","Meat, pig","2018","2018","USD","1806","","Official data"
"PP","Producer Prices - Annual","63","Estonia","5532","Producer Price (USD/tonne)","977","Meat, sheep","2018","2018","USD","3156.1","","Official data"
"PP","Producer Prices - Annual","63","Estonia","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","USD","208.6","","Official data"
"PP","Producer Prices - Annual","63","Estonia","5532","Producer Price (USD/tonne)","71","Rye","2018","2018","USD","159","","Official data"
"PP","Producer Prices - Annual","63","Estonia","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","USD","194.1","","Official data"
"PP","Producer Prices - Annual","238","Ethiopia","5532","Producer Price (USD/tonne)","44","Barley","2018","2018","USD","303.3","","Official data"
"PP","Producer Prices - Annual","238","Ethiopia","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","USD","205.6","","Official data"
"PP","Producer Prices - Annual","238","Ethiopia","5532","Producer Price (USD/tonne)","79","Millet","2018","2018","USD","277.4","","Official data"
"PP","Producer Prices - Annual","238","Ethiopia","5532","Producer Price (USD/tonne)","75","Oats","2018","2018","USD","424","","Official data"
"PP","Producer Prices - Annual","238","Ethiopia","5532","Producer Price (USD/tonne)","27","Rice, paddy","2018","2018","USD","355.8","","Official data"
"PP","Producer Prices - Annual","238","Ethiopia","5532","Producer Price (USD/tonne)","83","Sorghum","2018","2018","USD","278.5","","Official data"
